ID2,SeriesName
3,Naff
5,Palouse
7,Palouse
9,Palouse
11,Palouse
13,Naff
15,Latah
17,Palouse
19,Latah
21,Staley
23,Palouse
25,Naff
27,Palouse
29,Staley
31,Palouse
33,Staley
35,Naff
37,Latah
39,Latah
41,Palouse
43,Latah
45,Palouse
47,Palouse
49,Unknown
51,Palouse
53,Palouse
55,Palouse
57,Staley
59,Palouse
61,Naff
63,Naff
65,Thatuna
67,Thatuna
69,Thatuna
71,Staley
73,Staley
75,Thatuna
77,Unknown
79,Thatuna
81,Thatuna
83,Palouse
85,Palouse
87,Naff
89,Palouse
91,Naff
93,Thatuna
95,Latah
97,Thatuna
99,Staley
101,Palouse
103,Thatuna
105,Thatuna
107,Thatuna
109,Thatuna
111,Naff
113,Naff
115,Naff
117,Naff
119,Naff
121,Naff
123,Latah
125,Thatuna
127,Staley
129,Thatuna
131,Thatuna
133,Thatuna
135,Palouse
137,Naff
139,Naff
141,Naff
143,Naff
145,Naff
147,Naff
149,Palouse
151,Palouse
153,Palouse
155,Thatuna
157,Thatuna
159,Palouse
161,Unknown
163,Palouse
165,Palouse
167,Palouse
169,Naff
171,Naff
173,Thatuna
175,Latah
177,Palouse
179,Unknown
181,Thatuna
183,Buried/Altered
185,Buried/Altered
187,Thatuna
189,Palouse
191,Palouse
193,Palouse
195,Palouse
197,Palouse
199,Thatuna
201,Buried/Altered
203,Thatuna
205,Buried/Altered
207,Palouse
209,Naff
211,Buried/Altered
213,Buried/Altered
215,Palouse
215,Palouse
217,Palouse
219,Palouse
221,Palouse
223,Palouse
225,Palouse
227,Palouse
229,Naff
231,Unknown
233,Staley
235,Palouse
237,Palouse
241,Palouse
243,Unknown
245,Palouse
247,Palouse
249,Buried/Altered
251,Staley
253,Staley
255,Palouse
257,Palouse
259,Palouse
261,Staley
263,Palouse
265,Palouse
267,Palouse
269,Thatuna
271,Palouse
273,Thatuna
275,Palouse
277,Staley
279,Palouse
281,Staley
283,Palouse
285,Palouse
287,Palouse
289,Palouse
291,Palouse
293,Palouse
298,Palouse
300,Unknown
302,Palouse
304,Palouse
306,Palouse
308,Palouse
310,Unknown
312,Palouse
314,Thatuna
316,Buried/Altered
324,Palouse
326,Palouse
328,Palouse
330,Palouse
332,Palouse
334,Palouse
336,Palouse
338,Unknown
349,Palouse
351,Staley
353,Palouse
355,Palouse
357,Palouse
359,Palouse
371,Latah
373,Thatuna
375,Palouse
377,Unknown
379,Palouse
381,Thatuna
395,Caldwell
397,Palouse
399,Thatuna
401,Thatuna
419,Buried/Altered
421,Latah
423,Latah
425,Caldwell
